x,equidistant,Chebyshev
-0.2,0.999361,0.999377
-0.19,0.99953,0.999538
-0.18,0.99966,0.99966
-0.17,0.999759,0.99975
-0.16,0.999832,0.999815
-0.15,0.999886,0.999861
-0.14,0.999925,0.999895
-0.13,0.999952,0.999918
-0.12,0.99997,0.999936
-0.11,0.999982,0.999949
-0.1,0.99999,0.99996
-0.09,0.999995,0.99997
-0.08,0.999997,0.99998
-0.07,0.999999,0.99999
-0.06,1,1
-0.05,1,1.00001
-0.04,1,1.00002
-0.03,1,1.00002
-0.02,1,1.00003
-0.01,1,1.00003
7.5287e-16,1,1.00003
0.01,1,1.00003
0.02,1,1.00003
0.03,1,1.00002
0.04,1,1.00002
0.05,1,1.00001
0.06,1,1
0.07,0.999999,0.99999
0.08,0.999997,0.99998
0.09,0.999995,0.99997
0.1,0.99999,0.99996
0.11,0.999982,0.999949
0.12,0.99997,0.999936
0.13,0.999952,0.999918
0.14,0.999925,0.999895
0.15,0.999886,0.999861
0.16,0.999832,0.999815
0.17,0.999759,0.99975
0.18,0.99966,0.99966
0.19,0.99953,0.999538
0.2,0.999361,0.999377
0.21,0.999143,0.999167
0.22,0.998868,0.998897
0.23,0.998522,0.998554
0.24,0.998093,0.998126
0.25,0.997565,0.997596
0.26,0.99692,0.996948
0.27,0.996141,0.996163
0.28,0.995204,0.995219
0.29,0.994087,0.994093
0.3,0.992762,0.992761
0.31,0.991203,0.991193
0.32,0.989376,0.989359
0.33,0.98725,0.987226
0.34,0.984787,0.984759
0.35,0.981949,0.98192
0.36,0.978696,0.978667
0.37,0.974985,0.974959
0.38,0.970771,0.97075
0.39,0.966009,0.965994
0.4,0.960652,0.960644
0.41,0.954653,0.954653
0.42,0.947966,0.947973
0.43,0.940544,0.940558
0.44,0.932345,0.932363
0.45,0.923327,0.923349
0.46,0.913455,0.913477
0.47,0.902695,0.902716
0.48,0.891021,0.89104
0.49,0.878415,0.878429
0.5,0.864865,0.864873
0.51,0.850368,0.85037
0.52,0.834932,0.834928
0.53,0.818572,0.818565
0.54,0.801319,0.801307
0.55,0.783208,0.783196
0.56,0.76429,0.764278
0.57,0.744624,0.744614
0.58,0.724278,0.724272
0.59,0.70333,0.703328
0.6,0.681864,0.681866
0.61,0.659972,0.659977
0.62,0.637748,0.637754
0.63,0.615289,0.615295
0.64,0.592694,0.592698
0.65,0.57006,0.570061
0.66,0.547482,0.547479
0.67,0.52505,0.525044
0.68,0.502849,0.502842
0.69,0.480959,0.480954
0.7,0.459452,0.459453
0.71,0.438395,0.438405
0.72,0.417847,0.417866
0.73,0.397859,0.397885
0.74,0.378477,0.378503
0.75,0.35974,0.359752
0.76,0.341677,0.341658
0.77,0.324311,0.324239
0.78,0.307651,0.307508
0.79,0.291695,0.291469
0.8,0.276426,0.276126
0.81,0.26181,0.261473
0.82,0.247797,0.247505
0.83,0.234323,0.23421
0.84,0.221317,0.221572
0.85,0.208719,0.209573
0.86,0.1965,0.198193
0.87,0.184696,0.187408
0.88,0.17345,0.177194
0.89,0.163066,0.167525
0.9,0.154054,0.158379
0.91,0.147168,0.149732
0.92,0.143397,0.141564
0.93,0.143872,0.133855
0.94,0.149611,0.126588
0.95,0.161014,0.119741
0.96,0.176935,0.113289
0.97,0.193116,0.1072
0.98,0.199676,0.101444
0.99,0.177211,0.0960036
